Référence;Adresse;Surface (m²);Compte;Propriétaire
790174   AM0280;   CHAMP LOUBEAU 79500 MELLE;942;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AM0289;   CHAMP LOUBEAU 79500 MELLE;1848;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AM0416;   PRE CAILLAUD 79500 MELLE;936;+00554; COMMUNE DE MELLE 0000 QUA QUARTIER MAIRIE  79500 MELLE 
790174   AM0425;   LES MINES 79500 MELLE;741;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AM0435;   PRE CAILLAUD 79500 MELLE;5414;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AM0438;   CHAMP DE L HOPITAL 79500 MELLE;841;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AM0454;   CHAMP LOUBEAU 79500 MELLE;9023;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AM0508;   CITE BABIN 79500 MELLE;2071;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AM0512;   CHAMP DE L HOPITAL 79500 MELLE;16551;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AN0033;   LA POTENCE 79500 MELLE;3620;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AN0096;   SAINT PIERRE 79500 MELLE;1005;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AN0098;   CHAMP DE L ABREUVOIR 79500 MELLE;7344;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AN0244;   FIEF ALLENET 79500 MELLE;2240;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AN0286;   FIEF ALLENET 79500 MELLE;1217;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AN0315;0027 H RUE DE L ABREUVOIR MELLE 79500 MELLE;1058;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AN0319;0002  RUE JULES FERRY 79500 MELLE;818;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AN0325;   CHAMP DE L ABREUVOIR 79500 MELLE;866;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AN0375;   LA GARE 79500 MELLE;2847;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AN0392;   LA GARE 79500 MELLE;22929;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AO0023;   BOIS DES GARENNES 79500 MELLE;29958;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AP0021;   LA PISCINE 79500 MELLE;5057;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AP0022;   LA PISCINE 79500 MELLE;4372;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AP0023;   LA PISCINE 79500 MELLE;3421;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AR0001;   LES GRANDES RIVIERES 79500 MELLE;2907;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AR0002;   LES GRANDES RIVIERES 79500 MELLE;1958;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AR0004;   LES GRANDES RIVIERES 79500 MELLE;3077;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AR0006;   LES GRANDES RIVIERES 79500 MELLE;3329;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AT0146;   CHAMP DE VILLIERS 79500 MELLE;9453;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AT0147;   CHAMP DE VILLIERS 79500 MELLE;2131;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AT0166;   LES MONTAGNES 79500 MELLE;4040;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AT0177;   LES MONTAGNES 79500 MELLE;3262;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AT0179;   LES MONTAGNES 79500 MELLE;2878;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AV0008;   LES JONCHERES 79500 MELLE;9697;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   XA0017;   SAINT THIBAULT MELLE 79500 MELLE;10489;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174   XA0031;   LA CROIX CASSELIN 79500 MELLE;952;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   XA0033;   LA CROIX CASSELIN 79500 MELLE;1271;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   XA0048;   LA PIECE 79500 MELLE;949;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   XA0055;   LES FOMBLANCHES MELLE 79500 MELLE;812;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   XB0074;   PARCHAIMBAULT 79500 MELLE;16426;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174173 B0289;0016  RTE DE CANTEAU MAZIERES 79500 MELLE;1500;+00389; COMMUNE DE MAZIERES SUR BERONNE   79500 MELLE 
790174173 C0218;0015  PLE DU CHAMP DE FOIRE 79500 MELLE;1880;+00389; COMMUNE DE MAZIERES SUR BERONNE   79500 MELLE 
790174173 C0232;0013  PLE DU CHAMP DE FOIRE 79500 MELLE;5648;+00389; COMMUNE DE MAZIERES SUR BERONNE   79500 MELLE 
790174173 C0250;   CHARZAY 79500 MELLE;1135;+00389; COMMUNE DE MAZIERES SUR BERONNE   79500 MELLE 
790174173 C0251;   CHARZAY 79500 MELLE;1630;+00389; COMMUNE DE MAZIERES SUR BERONNE   79500 MELLE 
790174173 C0328;   LA TORSERIE 79500 MELLE;905;+00389; COMMUNE DE MAZIERES SUR BERONNE   79500 MELLE 
790174173 C0479;   LE PETIT BEAUVAIS 79500 MELLE;8240;+00389; COMMUNE DE MAZIERES SUR BERONNE   79500 MELLE 
790174173 C0662;   CHARZAY 79500 MELLE;1373;+00389; COMMUNE DE MAZIERES SUR BERONNE   79500 MELLE 
790174173 C0663;   CHARZAY 79500 MELLE;882;+00389; COMMUNE DE MAZIERES SUR BERONNE   79500 MELLE 
790174173 C0715;   CHARZAY 79500 MELLE;7025;+00389; COMMUNE DE MAZIERES SUR BERONNE   79500 MELLE 
790174173 C0728;0004  RTE DES MORPANES CHARZAY 79500 MELLE;922;+00389; COMMUNE DE MAZIERES SUR BERONNE   79500 MELLE 
790174173 C0762;0010  RTE DE L'ASSEMBLEE AUX DAMES 79500 MELLE;1044;+00389; COMMUNE DE MAZIERES SUR BERONNE   79500 MELLE 
790174173 C0763;0008  RTE DE L'ASSEMBLEE AUX DAMES 79500 MELLE;1018;+00389; COMMUNE DE MAZIERES SUR BERONNE   79500 MELLE 
790174173ZA0035;   LA GROIE BOUROLLE 79500 MELLE;9300;+00389; COMMUNE DE MAZIERES SUR BERONNE   79500 MELLE 
790174173ZA0043;   LE PATUREAU NORD MAZIERES 79500 MELLE;17760;+00389; COMMUNE DE MAZIERES SUR BERONNE   79500 MELLE 
790174173ZA0047;   LA PLAINE DE FOUGEROLLE 79500 MELLE;1730;+00389; COMMUNE DE MAZIERES SUR BERONNE   79500 MELLE 
790174173ZA0048;   LA PLAINE DE FOUGEROLLE 79500 MELLE;4500;+00389; COMMUNE DE MAZIERES SUR BERONNE   79500 MELLE 
790174173ZB0067;   LA FERLANDRIE NORD 79500 MELLE;2160;+00389; COMMUNE DE MAZIERES SUR BERONNE   79500 MELLE 
790174173ZE0001;   LE FIEF DU GRAND CHATELIER 79500 MELLE;11840;+00389; COMMUNE DE MAZIERES SUR BERONNE   79500 MELLE 
790174173ZE0019;   LES TURCHAUDS 79500 MELLE;3150;+00389; COMMUNE DE MAZIERES SUR BERONNE   79500 MELLE 
790174173ZE0028;   LES TURCHAUDS 79500 MELLE;4185;+00389; COMMUNE DE MAZIERES SUR BERONNE   79500 MELLE 
790174173ZE0031;   LES TURCHAUDS 79500 MELLE;5045;+00389; COMMUNE DE MAZIERES SUR BERONNE   79500 MELLE 
790174173ZE0036;   LES TURCHAUDS 79500 MELLE;2084;+00389; COMMUNE DE MAZIERES SUR BERONNE   79500 MELLE 
790174173ZE0038;   LES TURCHAUDS 79500 MELLE;2482;+00389; COMMUNE DE MAZIERES SUR BERONNE   79500 MELLE 
790174173ZE0039;   LES TURCHAUDS 79500 MELLE;2603;+00389; COMMUNE DE MAZIERES SUR BERONNE   79500 MELLE 
790174173ZK0031;   LA GRANDE PIECE MAZIERES 79500 MELLE;4190;+00389; COMMUNE DE MAZIERES SUR BERONNE   79500 MELLE 
790174173ZK0032;   LA GRANDE PIECE MAZIERES 79500 MELLE;3680;+00389; COMMUNE DE MAZIERES SUR BERONNE   79500 MELLE 
790174173ZK0034;   LA GRANDE PIECE MAZIERES 79500 MELLE;3645;+00389; COMMUNE DE MAZIERES SUR BERONNE   79500 MELLE 
790174199 A0051;   CHATEAU GAILLARD 79500 MELLE;7690;+00434; COMMUNE DE PAIZAY LE TORT   79500 MELLE 
790174199 A0063;0001  PL CHATEAU GAILLARD 79500 MELLE;1765;+00434; COMMUNE DE PAIZAY LE TORT   79500 MELLE 
